pair,signal_time,entry_price,exit_time,exit_price,pnl_pct_net,pnl_dollars,position_dollars,exit_reason,score,shadow_balance_after
METISUSDT,2026-09-01 14:30:00+00:00,2.67,2026-09-01 22:30:00+00:00,2.6920275,0.525,61.89,11789.5,Trail-Lock 🔒,0.7313501662725961,35430.41
RIFUSDT,2026-09-01 20:30:00+00:00,0.0717,2026-09-01 22:00:00+00:00,0.072291525,0.525,62.0,11810.14,Trail-Lock 🔒,0.5427875181533105,35492.41
ESPUSDT,2026-09-01 23:00:00+00:00,0.08116,2026-09-02 09:00:00+00:00,0.08182956999999999,0.525,62.11,11830.8,Trail-Lock 🔒,0.8488272148354046,35554.52
LSKUSDT,2026-09-02 05:30:00+00:00,0.101,2026-09-02 07:30:00+00:00,0.10183325000000001,0.525,62.22,11851.51,Trail-Lock 🔒,0.8447686348247077,35616.74
MINAUSDT,2026-09-02 05:30:00+00:00,0.0707,2026-09-02 10:00:00+00:00,0.0717605,1.2,142.47,11872.25,TP 🟢,0.6159596401348816,35759.21
AMPUSDT,2026-09-02 05:30:00+00:00,0.00045,2026-09-02 06:00:00+00:00,0.00045371249999999995,0.525,62.58,11919.74,Trail-Lock 🔒,0.5473732123663997,35821.79
DIAUSDT,2026-09-02 05:30:00+00:00,0.1326,2026-09-02 10:30:00+00:00,0.131274,-1.3,-155.23,11940.6,SL 🔴,0.5420283895662565,35666.56
MIRAUSDT,2026-09-02 11:00:00+00:00,0.04606,2026-09-02 11:30:00+00:00,0.04694246709913469,1.6159,192.11,11888.85,TP 🟢,0.8262864402917786,35858.67
ACTUSDT,2026-09-02 14:30:00+00:00,0.01008,2026-09-02 15:00:00+00:00,0.010231200000000001,1.2,143.43,11952.89,TP 🟢,0.7852458151664854,36002.11
MOVEUSDT,2026-09-02 14:30:00+00:00,0.0085,2026-09-02 15:00:00+00:00,0.008570125,0.525,63.0,12000.7,Trail-Lock 🔒,0.6567623566364805,36065.11
PARTIUSDT,2026-09-02 18:00:00+00:00,0.024,2026-09-02 18:30:00+00:00,0.024198,0.525,63.11,12021.7,Trail-Lock 🔒,0.6790034228862611,36128.22
MINAUSDT,2026-09-02 18:00:00+00:00,0.0712,2026-09-02 18:30:00+00:00,0.072268,1.2,144.51,12042.74,TP 🟢,0.6421172737911762,36272.74
DEXEUSDT,2026-09-02 18:00:00+00:00,1.93,2026-09-02 21:30:00+00:00,1.9103331433996893,-1.319,-158.57,12021.7,SL 🔴,0.8507045523578504,36114.17
BIOUSDT,2026-09-02 18:00:00+00:00,0.02542,2026-09-02 21:30:00+00:00,0.025165800000000002,-1.3,-157.18,12090.91,SL 🔴,0.5564800954862364,35956.99
BMTUSDT,2026-09-02 14:30:00+00:00,0.01941,2026-09-02 22:30:00+00:00,0.019172759641649998,-1.5223,-182.45,11985.66,SL 🔴,0.7493901548878872,35774.53
ARUSDT,2026-09-02 18:00:00+00:00,2.257,2026-09-02 23:00:00+00:00,2.2756202500000002,0.525,62.61,11924.84,Trail-Lock 🔒,0.6406801699943475,35837.14
RONINUSDT,2026-09-02 21:00:00+00:00,0.0504,2026-09-02 22:00:00+00:00,0.049896,-1.3,-155.29,11945.71,SL 🔴,0.5645495675163006,35681.85
AWEUSDT,2026-09-02 11:00:00+00:00,0.06141,2026-09-02 23:30:00+00:00,0.06151,-0.1372,-16.39,11952.89,Timeout ⏱️,0.7894314035781637,35665.45
ERAUSDT,2026-09-02 11:00:00+00:00,0.0584,2026-09-02 23:30:00+00:00,0.0587,0.2137,25.69,12021.7,Timeout ⏱️,0.4704560848804966,35691.14
DASHUSDT,2026-09-02 21:00:00+00:00,42.33,2026-09-03 00:00:00+00:00,42.6792225,0.525,62.46,11897.05,Trail-Lock 🔒,0.82573795158307,35753.6
SAPIENUSDT,2026-09-02 23:00:00+00:00,0.0773,2026-09-03 05:00:00+00:00,0.07845949999999999,1.2,143.01,11917.87,TP 🟢,0.46910032370878696,35896.62
THETAUSDT,2026-09-03 01:00:00+00:00,0.1682,2026-09-03 02:30:00+00:00,0.16958764999999998,0.525,62.82,11965.54,Trail-Lock 🔒,0.6375703194927667,35959.43
LPTUSDT,2026-09-03 01:00:00+00:00,1.322,2026-09-03 02:30:00+00:00,1.3329065,0.525,62.93,11986.48,Trail-Lock 🔒,0.5687721266384149,36022.36
ETCUSDT,2026-09-03 01:00:00+00:00,7.29,2026-09-03 05:00:00+00:00,7.3501425000000005,0.525,63.04,12007.45,Trail-Lock 🔒,0.5668264022773706,36085.4
FETUSDT,2026-09-03 01:00:00+00:00,0.1525,2026-09-03 02:30:00+00:00,0.1547875,1.2,144.34,12028.47,TP 🟢,0.5591868407797059,36229.74
